id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,gender,age_group,color,size
289815727,"Ray-Ban Sunglasses, RB3025 Aviator Gradient",null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=289815727,https://img.shopstyle-cdn.com/pim/30/ad/30adeea483c11a3dda762644698dd3b1_best.jpg,new,in stock,168 USD,0 USD,null,Adult,navy,medium
169357450,Harris Men's Anticato Belt - Rust,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=169357450,https://img.shopstyle-cdn.com/pim/8a/4a/8a4ab9827634cece4541bbf9890f0d03_best.jpg,new,in stock,185 USD,0 USD,male,Adult,navy,medium
2743134,Gold Plated Sterling Plain Plaque Buckle,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/brooks-brothers/gold-plated-sterling-plain-plaque-buckle,https://img.shopstyle-cdn.com/pim/8b/46/8b46e3c30af6e2ee7d6bf06c9b0dc71f_best.jpg,new,in stock,248 USD,248 USD,male,Adult,navy,medium
29929731,Buffalo ID Case,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/brooks-brothers/buffalo-id-case,https://img.shopstyle-cdn.com/pim/bc/8c/bc8c3b17fdcf99cd3da5723d4282a428_best.jpg,new,in stock,198 USD,198 USD,male,Adult,navy,medium
253510896,Naked & Famous Denim Weird Guy Slim Fit Selvedge Jeans,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/naked-famous-denim/weird-guy-slim-fit-selvedge-jeans,https://img.shopstyle-cdn.com/pim/ae/0f/ae0fc3485e83d6b79245aa02e2788b14_best.jpg,new,in stock,135 USD,135 USD,male,Adult,navy,medium
257092809,Lysse Control Top High Waist Capris,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=257092809,https://img.shopstyle-cdn.com/pim/e4/b3/e4b321f44ab11583bad098f62046bef4_best.jpg,new,in stock,58 USD,0 USD,null,Adult,navy,medium
204817085,Boconi 'Slimster' Wallet,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=204817085,https://img.shopstyle-cdn.com/pim/a3/d5/a3d56232c73bafb82e622cd2d1e2240d_best.jpg,new,in stock,75 USD,0 USD,null,Adult,navy,medium
32754858,Wacoal Petite Embrace Lace Push Up Bra 75891,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=32754858,https://img.shopstyle-cdn.com/pim/11/06/110609df6c28d66157fac7ddbe5ae55e_best.jpg,new,in stock,52 USD,0 USD,null,Adult,navy,medium
139699978,COLLECTION Lizard Belt,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/saks-fifth-avenue/collection-lizard-belt,https://img.shopstyle-cdn.com/pim/27/35/273510e75c01895f3e70347c833d611a_best.jpg,new,in stock,225 USD,225 USD,male,Adult,navy,medium
32804,David Yurman Women's X Bracelet with Gold,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=32804,https://img.shopstyle-cdn.com/pim/19/e8/19e8828ae0a9f53b15f46b12f3c61743_best.jpg,new,in stock,550 USD,0 USD,female,Adult,navy,medium
215398191,"Club Room Handkerchiefs, Permanent Press 7 Pack Handkerchiefs",null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=215398191,https://img.shopstyle-cdn.com/pim/fb/1d/fb1dcb218c85996553a7649a4850526f_best.jpg,new,in stock,17.98 USD,0 USD,male,Adult,navy,medium
17485691,Chantelle Tamaris Full Coverage Seamless Lace Bra,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/chantelle/tamaris-full-coverage-seamless-lace-bra,https://img.shopstyle-cdn.com/pim/f0/1f/f01fcd865c33a85adfc5e1955259f4bb_best.jpg,new,in stock,84 USD,84 USD,null,Adult,navy,medium
324999357,Boyfriend 60mm Flat Top Sunglasses,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/ray-ban/boyfriend-60mm-flat-top-sunglasses,https://img.shopstyle-cdn.com/pim/99/1b/991b316879ff9efcc0728aee1ba875f9_best.jpg,new,in stock,159 USD,159 USD,female,Adult,navy,medium
31613,Majorica Women's 12MM White Baroque Pearl Drop Earrings,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=31613,https://img.shopstyle-cdn.com/pim/dc/5b/dc5b34242cb71e845bffc08c9ee40e27_best.jpg,new,in stock,80 USD,0 USD,female,Adult,navy,medium
273068166,Oakley Radar Path 11-395 Iridium Replacement Lens,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=273068166,https://img.shopstyle-cdn.com/pim/1c/94/1c94c8085b7cecc1714962f38da06eb1_best.jpg,new,in stock,80 USD,0 USD,male,Adult,navy,medium
2743019,"Brooks Brothers Traditional Relaxed-Fit Dress Shirt, Button-Down Collar",null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/brooks-brothers/traditional-relaxed-fit-dress-shirt-button-down-collar,https://img.shopstyle-cdn.com/pim/1c/c2/1cc2783578acd6e4db3dab7dfbc638fc_best.jpg,new,in stock,69.50 USD,69.50 USD,female,Adult,navy,medium
274187886,RVCA Vamp Striped Dress,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=274187886,https://img.shopstyle-cdn.com/pim/c7/58/c758fae2ecede263ee5dd9e45d16fda0_best.jpg,new,in stock,49 USD,0 USD,female,Adult,navy,medium
230624760,Roberto Coin Women's Tiny Treasures Diamond & 18K White Gold Key Pendant Necklace,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=230624760,https://img.shopstyle-cdn.com/pim/a4/ce/a4ced8790860e0aefdd41cf2641ad844_best.jpg,new,in stock,780 USD,0 USD,female,Adult,navy,medium
